artist_id,name,popularity_rating,genre,country_code
6roFdX1y5BYSbp60OTJWMd,Tim McGraw,73,contemporary country,AU
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,83,country rap,AU
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,AU
5aizOVB0aFinBgezLPkhnm,Callista Clark,40,country pop,AU
6ZV6lGY0prbqpTD0Md8i29,Scotty McCreery,60,contemporary country,AU
13YmWQJFwgZrd4bf5IjMY4,Brad Paisley,67,contemporary country,AU
718COspgdWOnwOFpJHRZHS,Luke Combs,87,contemporary country,AU
32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,75,classic country pop,AU
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,76,contemporary country,AU
2dyeCWctcFRt3Pha76ONgb,"Hank Williams, Jr.",69,country,AU
1UTPBmNbXNTittyMJrNkvw,Blake Shelton,73,classic oklahoma country,AU
4GGfAshSkqoxpZdoaHm7ky,ERNEST,73,modern country pop,AU
1ZN1c1qWEGZNX1pGeKCPpf,Billy Strings,66,jam band,AU
3oVcF3VdpMuvMvLLyHPT4t,Sierra Ferrell,65,alternative americana,AU
5QNm7E7RU2m64l6Gliu8Oy,HARDY,75,contemporary country,AU
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86,pov: indie,AU
4Y8LpEiP4uKTP02lSYEWJV,HIXTAPE,64,modern country pop,AU
3THMgU4KdL7LlO5TEREs2g,Joe Diffie,61,classic oklahoma country,AU
25u1DN0MwQVSav4XoJS7hl,Olly,73,italian pop,ID
1A6HBLulvBFzNtlMb7b08f,Angelina Mango,67,italian pop,ID
4rj3KWaLAnuxgtMMkypZhf,JVLI,73,italian pop,ID
2PEMswqQspTSsAltdeF5kO,Simba La Rue,76,drill italiana,ID
0hk4xVujcyOr6USD95wcWb,Sick Luke,65,italian hip hop,ID
7GacyaFUp0qkEJglERX9N7,Alfa,67,pop virale italiano,ID
0EUR8jz8L936AEbV2Spkca,Kid Yugi,78,italian hip hop,ID
3yGA8yyowtKVXgNIXguMfz,Lele Blade,67,italian hip hop,ID
27LlKWxS3KXW7RRAxN5S8s,Geolier,79,italian hip hop,ID
7K80yOTC0Id95gRaOxDG5u,ANNA,76,italian hip hop,ID
4w9mPW732RnZkoqsy3lRsg,Niky Savage,68,italian hip hop,ID
396Jr76018oUMR6QBnqT8T,Cesare Cremonini,68,italian adult pop,ID
2pzFTbri7ew8mW2CbYpCNq,Astro,68,italian hip hop,ID
0jdNdfi4vAuVi7a6cPDFBM,Lazza,79,italian hip hop,ID
790FomKkXshlbRYZFtlgla,KAROL G,91,reggaeton,ID
7cdIY4mDfM1dbjgl7s2fGR,Sal Da Vinci,61,canzone napoletana,ID
2E6AK3UPEGCvjnzuygCh2h,Night Skinny,75,italian hip hop,ID
6PsQc21YZU7WNfiODG69Qk,Tony Boy,76,emo rap italiano,ID
5SulO4l40qDuV9zUGLZx7n,Capo Plaza,75,italian hip hop,ID
0lI3rF4hi4op6UxqlLHPzv,Achille Lauro,66,italian adult pop,ID
76UCIJTB0jcJvBaL0CdIqx,Takagi & Ketra,68,italian adult pop,ID
3wDn3kW2zDRLnaQAnX0S3x,Dat Boi Dee,66,italian hip hop,ID
3y2cIKLjiOlp1Np37WiUdH,Shaboozey,80,modern country pop,IN
246dkjvS1zLTtiykXe5h60,Post Malone,91,dfw rap,IN
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,91,contemporary country,IN
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,91,classic oklahoma country,IN
70kkdajctXSbqSMJbQO424,Kacey Musgraves,77,classic texas country,IN
718COspgdWOnwOFpJHRZHS,Luke Combs,87,contemporary country,IN
5Ppie0uPnbnvGBYRwYmlt0,Megan Moroney,77,contemporary country,IN
4GGfAshSkqoxpZdoaHm7ky,ERNEST,73,modern country pop,IN
6vWDO969PvNqNYHIOW5v0m,Beyoncé,87,pop,IN
64KEffDW9EtZ1y2vBYgq8T,Marshmello,84,brostep,IN
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,76,black americana,IN
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,83,contemporary country,IN
4sCKpwwEsgReZxjtKFm2A0,Tucker Wetmore,71,modern country pop,IN
6BRxQ8cD3eqnrVj6WKDok8,Ella Langley,74,modern country pop,IN
2QMsj4XJ7ne2hojxt6v5eb,Riley Green,77,contemporary country,IN
6TIYQ3jFPwQSRmorSezPxX,mgk,79,ohio hip hop,IN
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,83,country rap,IN
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,76,contemporary country,IN
63wjVVauFUQ4gBw6QXTT5N,Tyler Braden,67,modern country pop,IN
3RqBeV12Tt7A8xH3zBDDUF,Kelsea Ballerini,74,contemporary country,IN
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,86,pov: indie,IN
0ChjBYedhZTQnWZWQYg15U,Bryan Martin,70,modern country pop,IN
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,90,alt z,SA
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,92,art pop,SA
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,96,dance pop,SA
1iCnM8foFssWlPRLfAbIwo,Gigi Perez,81,bedroom pop,SA
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",95,hip hop,SA
2qoQgPAilErOKCwE2Y8wOG,GloRilla,82,southern hip hop,SA
3DbwFQlvLxRSi2uX8mf81A,Sexyy Red,80,trap queen,SA
55Aa2cqylxrFIXC767Z865,Lil Wayne,88,hip hop,SA
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,87,canadian contemporary r&b,SA
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,96,art pop,SA
1oSPZhvZMIrWW5I41kPkkY,Jimin,89,k-pop,SA
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,94,pop,SA
